YEAR,MO,DY,T2M,T2MDEW,T2M_MIN,T2M_MAX,QV2M,PRECTOTCORR,PS,WS50M_MAX,WS50M_MIN,WS10M
1985,4,15,27.62,0.94,18.78,36.8,4.33,0,96.02,7.84,3.45,4.44
1985,4,16,28.97,-2.05,20.76,38.85,3.42,0,96.24,7.91,0.61,2.88
1985,4,17,30.1,-2.95,21.84,39.54,3.17,0,96.09,6.03,1.5,3.16
1985,4,18,30.45,-0.74,21.45,39.98,3.72,0,95.91,7.2,3.51,3.46
1985,4,19,30.94,-0.2,21.19,40.24,3.91,0,95.9,8.38,2.55,3.75
1985,4,20,31.83,1.52,24.05,41.01,4.39,0,96.25,8.59,4.7,4.82
1985,4,21,32.14,3.87,23.95,40.52,5.25,0,96.39,9.3,6.52,5.6
1985,4,22,31.49,-0.68,22.92,40.54,3.78,0,95.99,10.05,4.65,5.31
1985,4,23,31.6,-1.85,23.05,40.61,3.42,0,95.71,11.76,2.76,5.04
1985,4,24,31.47,-1.46,23.09,40.4,3.54,0,95.58,7.2,2.72,3.56
1985,4,25,31.8,-0.98,23.55,41.01,3.72,0,95.77,8.7,2.14,4.32
1985,4,26,32.31,-3.06,24.71,41.52,3.11,0,95.93,9.49,1.23,4.62
1985,4,27,32.63,-1.24,22.84,42.09,3.66,0,95.85,9.12,5.16,4.62
1985,4,28,33.46,2.55,24.94,42.24,4.76,0,95.84,9.49,3.94,4.51
1985,4,29,33.9,2.51,25.33,43,4.76,0,95.75,9.42,3.54,4.42
1985,4,30,33.09,-0.44,24.67,41.76,3.91,0,95.52,8.12,5.15,4.56
1985,5,1,32.85,1.92,24.93,41.49,4.7,0,95.27,10.57,5.3,5.81
1985,5,2,30.84,-0.72,22.76,39.05,3.91,0,95.5,10.37,4.98,4.95
1985,5,3,30.89,-2.28,22.85,39.23,3.36,0,95.65,8.5,2.22,4.22
1985,5,4,31.65,2.4,22.63,39.91,4.82,0,95.64,8.69,3.98,4.33
1985,5,5,32.91,5.43,24.22,41.44,5.86,0,95.64,8.65,3.78,4.77
1985,5,6,34.07,7.38,26.19,42.4,6.71,0,95.86,9.35,4.07,4.65
1985,5,7,35.4,6.53,26.98,43.7,6.29,0,96.02,8.3,3.23,4
1985,5,8,34.85,4.12,27.58,42.95,5.37,0,96.09,9.2,3.84,4.95
1985,5,9,32.83,3.44,25.12,39.3,5.13,0,96,8.56,4.27,4.56
1985,5,10,33.4,6.87,26.08,41.17,6.53,0,95.91,8.29,4.8,4.45
1985,5,11,33.37,4.75,27.15,40.55,5.55,0,95.92,5.77,0.9,2.89
1985,5,12,34.66,3.83,28.64,42.65,5.25,1.71,95.81,7.93,1.16,3.62
1985,5,13,35.2,2.75,28.58,43.53,4.88,0,95.63,10.5,0.77,4.77
1985,5,14,33.04,-1.8,24.71,41.34,3.48,0,95.68,9.66,4.5,4.38
1985,5,15,33.62,-4.67,25.29,42.27,2.75,0,95.67,7.72,2.45,3.6
1985,5,16,34.12,-5.81,24.75,42.33,2.5,0,95.87,7.93,0.11,2.74
1985,5,17,35.42,-5.22,26.14,43.53,2.62,0,96,9.03,0.45,2.97
1985,5,18,35.73,-3.2,25.89,44.19,3.05,0,95.99,6.8,0.38,2.62
1985,5,19,36.44,-1.73,27.37,45.01,3.42,0,95.75,6.81,0.7,2.68
1985,5,20,36.25,1.69,27.21,44.96,4.46,0,95.53,6.25,3.34,3.38
1985,5,21,36.4,4.4,28.57,44.48,5.43,0,95.31,8.46,3.86,4.18
1985,5,22,36.33,3.53,28.51,44.16,5.13,0,95.36,6.5,1.64,2.88
1985,5,23,36.59,2.69,28.85,44.79,4.88,0.01,95.23,8.38,1.12,3.53
1985,5,24,36.42,4.48,26.99,44.43,5.62,0,95.09,7.16,2.56,3.42
1985,5,25,36.45,9.65,29.56,43.63,8,0,95.03,10.62,5.15,6.28
1985,5,26,36.11,8.39,29.26,43.44,7.57,0.02,95.17,12.12,7.34,6.99
1985,5,27,34.45,4.8,28.01,41.67,5.68,0.01,95.27,10.96,6.41,5.87
1985,5,28,34.1,3.32,26.98,41.57,5.07,0.06,95.23,10.08,4.07,5.2
1985,5,29,34.16,2.48,27.3,41.3,4.76,0,95.37,9.54,5.31,5.2
1985,5,30,34.58,5.78,26.85,41.57,6.1,0,95.47,8.21,4.46,3.99
1985,5,31,33.92,16.15,29.05,38.65,12.08,0.02,95.52,10.3,4.73,4.62
1985,6,1,34.61,15.75,29.22,39.25,11.78,0.09,95.4,7.28,4.67,3.87
1985,6,2,35.22,13.94,28.88,41.45,10.5,0.1,95.33,7.46,4.14,3.9
1985,6,3,34.95,14.98,29.14,41.03,11.17,0.32,95.37,9.67,5.27,4.68
1985,6,4,35.62,12.73,29.26,41.8,9.64,0,95.42,10.33,6.48,5.71
1985,6,5,36.15,11.88,30.06,42.8,9.16,0,95.47,10.17,5.4,5.12
1985,6,6,36.24,10.02,29.33,43.26,8.06,0.27,95.42,11.63,7.68,6.61
1985,6,7,35.17,12.41,29.2,41.44,9.52,0,95.43,9.62,5.8,5.69
1985,6,8,34.48,15.54,29.69,40.4,11.66,0,95.4,9.86,6.57,6.21
1985,6,9,34.68,16.53,29.86,40.12,12.45,0.49,95.44,12.98,7.2,6.98
1985,6,10,34.76,15.86,29.12,40.87,11.9,0.39,95.33,12.12,8.35,7.27
1985,6,11,35.08,15.62,29.15,41.55,11.78,0.12,95.3,9.75,6.23,5.52
1985,6,12,35.61,14.44,30.23,42.01,10.86,0.07,95.44,9.7,5.12,5.16
1985,6,13,36.04,13.33,29.48,42.67,10.07,0.62,95.46,8.75,4.82,5.2
1985,6,14,36.47,12.17,29.69,43.41,9.34,0.04,95.33,10.55,5.12,5.62
1985,6,15,36.4,11.4,29.99,43.44,8.91,0,95.16,10.3,6.95,6.5
1985,6,16,36.28,12.59,29.27,43.37,9.7,0.01,95.01,10.46,7.7,6.94
1985,6,17,35.72,11.87,29.12,42.78,9.34,0.03,94.98,10.72,7.58,6.57
1985,6,18,35.24,12.94,28.89,42.16,9.95,0,94.99,11.53,6.73,6.3
1985,6,19,35.18,12.63,28.8,42.6,9.83,0,95.1,11.12,7.05,6.45
1985,6,20,34.69,13.8,28.11,41.8,10.56,0,95.3,10.19,4.88,5.34
1985,6,21,35.23,13.51,28.69,41.84,10.19,0,95.37,9.52,6.48,5.94
1985,6,22,35.9,12.86,29.35,42.38,9.77,0,95.26,9.81,5.53,5.63
1985,6,23,36.3,12.6,29.72,42.87,9.64,0,95.14,9.69,6.16,5.31
1985,6,24,36.93,10.24,29.28,43.69,8.24,0,95.04,7.49,3.06,3.59
1985,6,25,38.06,8.58,30.79,45.13,7.32,0,95.11,7.66,3.59,4.05
1985,6,26,37.91,11.12,30.99,44.08,8.79,0.01,95.17,6.54,1.11,2.77
1985,6,27,37.62,13.49,31.59,43.65,10.25,0.52,94.99,8.8,2.77,4.84
1985,6,28,36.21,15.32,30.81,42.14,11.54,0.08,95.05,10.95,6.45,6.34
1985,6,29,35.4,15.68,29.33,41.95,11.84,0.1,95.08,10.39,5.55,5.82
1985,6,30,34.62,15.89,29.35,40.39,11.96,0,95.23,10.78,4.45,4.73
1985,7,1,34.96,15.31,29.47,40.99,11.54,0,95.39,10.62,6.55,6.05
1985,7,2,34.82,14.56,29.32,40.23,10.86,0,95.39,7.3,6.28,4.77
1985,7,3,34.86,14.18,28.65,40.9,10.62,0,95.39,6.99,4.29,4.19
1985,7,4,36.48,15.4,29.91,42.62,11.47,0.19,95.36,7.81,3.82,4.09
1985,7,5,37.15,15.51,30.86,43.33,11.6,0.11,95.18,8.38,5.14,5.04
1985,7,6,36.76,16.05,31.05,42.3,12.02,3.15,95.13,8.25,4.85,5.16
1985,7,7,35.79,18.06,30.62,40.93,13.61,0.74,95.21,9.73,3.38,4.48
1985,7,8,35.43,17.76,31.25,40.16,13.43,0.23,95.14,7.37,2.7,3.57
1985,7,9,35.62,17.52,30.89,40.5,13.24,0.14,94.97,10.66,4.34,5.09
1985,7,10,34.95,17.48,29.58,39.68,13.18,0.19,95.08,10.46,0.73,3.95
1985,7,11,34.04,18.17,30.46,38,13.73,0.67,95.35,5.46,0.43,2.2
1985,7,12,31.87,20.63,28.31,35.46,15.99,1.62,95.48,5.59,0.27,2.3
1985,7,13,31.94,21.72,28.89,35.37,17.21,10,95.26,3.24,0.2,0.98
1985,7,14,29.47,23.05,26.36,32.93,18.62,18.8,95.27,5.63,3.23,2.95
1985,7,15,28.4,22.85,26.14,31.12,18.31,5.6,95.43,5.94,4.08,3.52
1985,7,16,29.05,22.72,25.55,33.27,18.19,4.84,95.43,3.95,0.41,1.99
1985,7,17,29.13,23.05,25.62,33.19,18.55,8.86,95.53,7.3,3.23,3.62
1985,7,18,29,23.36,25.68,32.46,18.98,27.08,95.37,6.88,0.85,3.26
1985,7,19,27.36,23.3,25.44,30.47,18.86,8.07,95.45,7.58,1.15,3.66
1985,7,20,28.3,22.71,24.48,32.95,18.13,9.29,95.66,8.09,3.48,3.8
1985,7,21,29.77,21.94,24.96,34.31,17.33,1.03,95.71,5.76,0.34,2.47
1985,7,22,29.69,22.48,25.67,33.26,17.88,11.01,95.7,6.39,0.48,2.42
1985,7,23,30.29,22.7,25.94,34.49,18.19,3.06,95.6,6.25,1.91,3.32
1985,7,24,29.14,22.18,25.9,33.02,17.64,13.5,95.46,9.17,5.03,4.36
1985,7,25,27.4,22.44,24.3,31.97,17.88,3.76,95.53,7.3,1.95,3.09
1985,7,26,28.07,22.76,24.61,32.12,18.25,1.23,95.5,3.38,1.53,1.86
1985,7,27,28.61,22.35,24.99,32.9,17.76,1.71,95.56,7.66,3.76,4.17
1985,7,28,28.92,22.65,25,33.48,18.13,1.53,95.53,7.56,3.34,3.91
1985,7,29,29.17,22.48,25.09,34.17,17.94,2.19,95.4,8.38,1.93,3.81
1985,7,30,28.49,22.73,25.42,31.84,18.25,1.54,95.32,4.83,3.19,2.73
1985,7,31,28.05,23.51,24.96,31.4,19.17,0.75,95.26,6.36,3.71,3.18
1985,8,1,29.15,23.74,25.17,33.44,19.41,0.17,95.34,10.46,3.36,5.07
1985,8,2,28.49,23.39,25.9,32.16,18.98,0.14,95.51,7.23,3.21,3.85
1985,8,3,27.65,23.98,25.49,30.9,19.65,0.5,95.29,9.53,4.48,5
1985,8,4,26.94,23.71,24.87,30.39,19.35,19.8,95.23,10.94,5.05,6.11
1985,8,5,26.76,23.98,24.24,29.83,19.65,14.66,95.29,9.76,6.05,5.76
1985,8,6,26.93,23.63,24.32,30.12,19.23,30.02,95.37,9.62,1.84,4.25
1985,8,7,27.08,23.51,23.78,30.53,19.1,10.71,95.37,6.04,2.98,3.02
1985,8,8,27.49,23.32,24.11,31,18.92,35.85,95.29,6.16,2.32,3.24
1985,8,9,27.69,24.27,24.44,31.13,20.02,14.18,95.32,5.72,2.17,2.76
1985,8,10,28.16,24.76,24.77,32.01,20.63,10.04,95.38,5.79,2.66,2.96
1985,8,11,28.82,24.14,24.65,33.17,19.9,0.92,95.3,4.77,0.31,1.57
1985,8,12,29.37,23.83,24.63,33.63,19.47,0.47,95.34,5.41,0.71,2.21
1985,8,13,29.21,23.75,25.14,34.09,19.41,1.1,95.41,7.63,4.4,3.89
1985,8,14,29.65,23.29,24.89,35.15,18.92,4.1,95.28,7.6,1.8,3.85
1985,8,15,29.26,23.38,24.58,34.23,18.98,9.45,95.23,8.48,1.64,3.74
1985,8,16,28.79,23.8,25.4,32.04,19.47,8.8,95.35,3.57,0.9,1.7
1985,8,17,29.48,23.72,24.89,33.94,19.35,0.92,95.47,5.45,0.66,2.29
1985,8,18,29.24,24.09,25.01,33.93,19.78,13.03,95.47,7.62,3.25,2.92
1985,8,19,27.86,23.46,23.8,32.62,19.04,1.4,95.43,7.52,3.76,3.85
1985,8,20,27.48,22.83,23.61,32.3,18.31,0.88,95.61,7.92,2.63,3.7
1985,8,21,27.86,22.4,23.28,32.98,17.82,0.4,95.67,7.4,2.68,3.5
1985,8,22,27.87,21.92,23.18,32.97,17.33,0,95.53,8.37,4.62,4.23
1985,8,23,27.48,21.68,22.44,33.01,17.09,0.01,95.57,8.26,5.31,4.54
1985,8,24,27.77,21.77,22.67,33.23,17.15,0,95.61,7.78,3.63,3.85
1985,8,25,27.52,21.17,22.33,33.01,16.54,0,95.62,7.47,4.24,3.86
1985,8,26,27.39,20.46,22.37,33.24,15.81,0,95.58,8.44,4.08,4.2
1985,8,27,27.51,19.63,21.33,33.89,15.01,0,95.6,7.7,2.45,3.29
1985,8,28,27.64,19.03,21.58,33.87,14.47,0,95.6,7.56,3.75,3.84
1985,8,29,28.04,19.52,22.83,33.73,14.95,0,95.7,7.09,1.1,2.85
1985,8,30,28.92,20.77,23.96,34.4,16.11,0,95.82,5.78,1.2,2.27
1985,8,31,29.39,21.36,24.62,34.9,16.72,0.47,95.69,6.71,1.98,3.08
1985,9,1,28.85,20.93,24.11,34.02,16.24,0.74,95.77,6.85,2.1,3.05
1985,9,2,28,20.08,23.69,33.09,15.38,0.1,95.88,7.64,4.55,4.11
1985,9,3,28.53,17.89,22.53,35.51,13.43,0.22,95.74,10.03,6.59,5.2
1985,9,4,28.23,18.36,22.23,35.51,13.85,0.43,95.58,9.68,4.72,4.91
1985,9,5,27.98,18.28,21.98,35.19,13.79,0,95.6,8.51,3.95,4.2
1985,9,6,28.55,18.76,22.24,35.65,14.22,0,95.69,7.61,3.32,3.66
1985,9,7,28.71,17.48,22.51,35.75,13.06,0,95.75,8.42,5.22,4.29
1985,9,8,28.75,16.31,22.15,36.1,12.15,0,95.71,9.12,3.95,3.99
1985,9,9,29.34,14.93,22.29,36.68,11.17,0,95.77,7.35,1.67,2.87
1985,9,10,29.69,13.56,21.98,37.47,10.25,0,95.84,7.55,2.77,2.94
1985,9,11,28.89,12.65,21.33,37.26,9.64,0,95.85,5.8,3.46,3.23
1985,9,12,28.33,16.45,21.69,35.72,12.51,0,95.72,7.48,2.39,3.6
1985,9,13,28.21,19.98,23.17,34.58,15.44,3.23,95.59,7.46,1.51,3.17
1985,9,14,29.09,18.73,21.78,37.33,14.4,0.17,95.49,8.93,2.6,4.02
1985,9,15,28.62,17.65,21.24,36.43,13.37,0.14,95.74,7.67,2.77,3.96
1985,9,16,28.53,18.47,22.39,36.34,14.16,2.21,95.91,7.05,3.54,3.71
1985,9,17,28.45,18.3,22.91,35.37,13.98,1.08,95.9,6.41,1.04,2.98
1985,9,18,28.74,17.15,22.43,36.27,13.06,0,95.95,5.55,0.91,2.36
1985,9,19,29.06,14.63,22.26,36.67,11.11,0,95.91,5.17,1.46,2.41
1985,9,20,28.58,15.79,21.62,36.8,11.9,0.01,95.91,6.41,1.84,2.57
1985,9,21,28.4,18.98,21.69,35.54,14.47,0,96.12,6.79,3.57,3.6
1985,9,22,27.6,20.82,23.69,32.18,16.05,0,96.13,5.34,3.29,3.2
1985,9,23,27.9,20.43,23.47,34.33,15.81,0.09,95.9,7.42,4.17,3.9
1985,9,24,27.59,20.67,22.99,34.4,15.99,2.47,95.88,8.12,3.34,4.08
1985,9,25,27.72,17.05,20.91,35.56,12.88,0.2,96.06,5.2,3.03,2.84
1985,9,26,29.15,14.36,22.16,37.09,10.74,0,96.11,4.09,1.26,2.3
1985,9,27,29.94,13.19,22.51,37.53,9.95,0,96.1,3.88,1.3,1.95
1985,9,28,30.4,11.08,23.41,38.45,8.67,0,96.1,3,1.98,1.94
1985,9,29,29.41,9.6,22.88,38.28,7.87,0,96.23,5.69,0.51,2.23
1985,9,30,28.98,8.51,21.73,38.53,7.32,0,96.25,6.6,1.56,2.56
1985,10,1,29.12,8.73,22.26,38.5,7.45,0,96.33,5.02,2.35,2.41
1985,10,2,28.13,10.88,19.64,37.91,8.73,0,96.45,5.35,0.55,2.07
1985,10,3,27.27,16.81,20.21,35.06,12.51,0,96.3,7.62,2.48,2.97
1985,10,4,27.68,19.13,21.59,34.33,14.47,0,96.22,6.72,4.31,4.03
1985,10,5,26.55,19.36,22.2,32.73,14.71,3.45,96.3,7.41,4.11,4.44
1985,10,6,21.72,19.29,20.03,24.22,14.59,22.78,96.38,7.09,4.09,4.67
1985,10,7,22.38,19.06,19.83,26.09,14.34,1.46,96.19,6.3,4.31,4.07
1985,10,8,21.76,19.28,20.13,24.27,14.59,1.36,95.99,9.84,5.8,6.3
1985,10,9,23.31,18.37,19.61,28.99,13.85,9.01,95.92,9.8,1.73,5.24
1985,10,10,23.09,12.34,17.08,31.15,9.58,0.52,96.44,7.67,4.42,3.77
1985,10,11,22.39,11.79,15.23,31.08,9.09,0.29,96.45,7.75,3.06,3.1
1985,10,12,22.87,12.17,15.37,31.17,9.4,0.08,96.38,7.34,4.88,3.6
1985,10,13,24.16,18.09,18.76,30.3,13.55,0.07,96.24,8.06,2.27,3.95
1985,10,14,25.33,11.55,17.87,34.36,9.22,0.16,96.03,6.12,2.81,3.12
1985,10,15,24.78,7.51,16.56,34.2,6.9,0.31,95.93,3.73,1.7,1.87
1985,10,16,23.87,4.17,15.78,33.42,5.49,0,96.08,6.51,2.56,2.88
1985,10,17,22.42,4.2,14.62,32.54,5.43,0,96.1,8.35,2.53,3.66
1985,10,18,21.87,1.6,14.01,32.04,4.52,0,96.12,7.87,2.88,3.48
1985,10,19,21.93,-0.99,13.62,32.56,3.78,0,96.33,6.07,4.35,3.59
1985,10,20,22.06,-1.31,13.84,32.51,3.72,0,96.6,5.13,2.68,2.84
1985,10,21,22,-1.03,15.03,31.87,3.78,0,96.8,4.88,1.45,2.23
1985,10,22,21.7,2.3,13.1,31.32,4.82,0,96.82,4.51,0.11,1.21
1985,10,23,23.05,1.03,16.28,31.71,4.33,0,96.67,2.91,0.84,1.59
1985,10,24,22.77,4.31,14.7,32.09,5.43,0,96.69,3.42,0.49,1.51
1985,10,25,22.97,6.45,15.73,32.55,6.35,0,96.75,5.57,0.68,1.95
1985,10,26,22.65,4.12,16.21,32.63,5.31,0,96.77,8.16,1.78,3.34
1985,10,27,22.42,2.4,14.8,31.96,4.76,0,96.73,6.01,2.29,2.96
1985,10,28,23.02,1.33,15.78,32.91,4.39,0,96.62,6.58,2.35,3.24
